               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.028372,            0.064664,                   0,             0.75716,               0.647,             0.71029,             0.41369,             0.03977,            0.090629,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.028263,            0.063519,                   0,             0.74345,             0.65933,             0.71161,             0.41519,             0.03983,            0.093032,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.028255,            0.063719,                   0,             0.77332,             0.63764,             0.70621,             0.41265,            0.040113,            0.092112,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.027895,            0.063717,                   0,             0.75811,             0.64793,             0.70988,             0.41581,            0.039942,            0.093482,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.027194,            0.061974,                   0,             0.75584,             0.64889,             0.70797,             0.41417,            0.040029,            0.094666,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.027352,            0.060817,                   0,             0.77503,             0.64921,             0.71101,             0.41422,            0.040185,            0.095518,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.026945,            0.060987,                   0,             0.76593,               0.641,             0.70471,             0.41279,            0.040033,            0.096966,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.026957,            0.060926,                   0,             0.77775,             0.64139,             0.71156,             0.41359,            0.040118,            0.095521,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.026837,            0.060658,                   0,             0.77228,             0.63657,             0.70476,             0.41512,            0.040208,            0.097059,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.025628,            0.056005,                   0,             0.79035,             0.62926,             0.69883,             0.40851,            0.041027,              0.1048,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.025547,            0.054636,                   0,             0.78005,             0.63099,              0.6987,             0.40756,            0.041303,             0.10445,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.025328,            0.055054,                   0,             0.76622,             0.63407,             0.69397,             0.40684,            0.041062,             0.10605,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.025242,            0.054929,                   0,             0.78081,             0.62541,             0.69649,             0.40597,            0.041226,             0.10337,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.025338,            0.055225,                   0,             0.76841,             0.63561,             0.69526,             0.40437,            0.041219,             0.10692,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.026521,            0.060663,                   0,             0.78585,             0.62483,             0.69953,             0.40776,            0.040697,            0.097247,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.026389,            0.058822,                   0,             0.77102,             0.64774,             0.70994,              0.4114,            0.040511,            0.096393,                   0,            0.006502,            0.006502,            0.006502
