                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3138,                 0.8311,                 1.1192,                 0.8004,                0.69674,                0.78402,                0.48311,                 1.2977,                 1.5371,                 1.0628,               0.007756,               0.007756,               0.007756
                     36,                 1.3062,                 0.8242,                 1.1208,                0.79596,                0.68556,                 0.7772,                 0.4758,                 1.2978,                 1.5313,                 1.0591,                0.00769,                0.00769,                0.00769
                     37,                 1.2995,                0.81379,                 1.1101,                0.77159,                0.69339,                  0.766,                0.46845,                 1.3193,                 4.3014,                 1.0735,               0.007624,               0.007624,               0.007624
                     38,                 1.2931,                 0.8122,                 1.1109,                0.81461,                0.68844,                0.78343,                0.47765,                 1.3054,                  1.619,                 1.0614,               0.007558,               0.007558,               0.007558
                     39,                 1.2873,                0.80588,                 1.1084,                0.80266,                0.68982,                0.78309,                0.47748,                 1.3056,                 1.6066,                 1.0675,               0.007492,               0.007492,               0.007492
                     40,                 1.2878,                0.80235,                  1.109,                  0.827,                0.68764,                0.79311,                  0.488,                 1.2985,                 1.2122,                 1.0574,               0.007426,               0.007426,               0.007426
                     41,                 1.2766,                0.79425,                 1.1029,                0.81603,                0.69488,                0.78752,                0.48532,                 1.2993,                0.97612,                  1.062,                0.00736,                0.00736,                0.00736
                     42,                 1.2785,                0.79498,                 1.1041,                0.82079,                0.68636,                0.78559,                0.48601,                 1.3055,                0.89114,                 1.0686,               0.007294,               0.007294,               0.007294
                     43,                 1.2714,                0.78592,                 1.0983,                0.80245,                0.70105,                0.78421,                 0.4866,                  1.279,                 1.4779,                 1.0531,               0.007228,               0.007228,               0.007228
                     44,                 1.2722,                0.78678,                 1.0999,                0.81201,                0.68301,                0.77987,                0.48356,                 1.2813,                 1.3702,                  1.054,               0.007162,               0.007162,               0.007162
                     45,                 1.2653,                0.78049,                 1.0979,                0.80826,                0.69898,                 0.7912,                0.48898,                 1.2821,                0.85679,                 1.0583,               0.007096,               0.007096,               0.007096
